Post Number,Platform,Username,Content URL,Text,Creation Date,Likes,Comments,Additional Info,cleaned_text,cluster
34,YouTube,@Audmoon400,https://www.youtube.com/watch?v=4R19-gsUoio,rockstar dog,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",rockstar dog,5
35,YouTube,@SjsjsnDndnsn,https://www.youtube.com/watch?v=4R19-gsUoio,🏁🚩🎌🏴🏳️🏳️‍🌈🏳️‍⚧️🏴‍☠️🇦🇨🇦🇶🇦🇴🇦🇴🇦🇲🇦🇱🇦🇱🇦🇮🇦🇬🇦🇬🇦🇽🇧🇦🇧🇧🇧🇧🇧🇮🇧🇦🇧🇩🇧🇱🇧🇩🇧🇱🇧🇳🇧🇴🇧🇾🇧🇶🇧🇼🇧🇶🇧🇼🇧🇸🇧🇼🇨🇫🇧🇼🇨🇩🇧🇼🇨🇨🇨🇮🇨🇦🇨🇮🇧🇿🇨🇮🇨🇦🇨🇮🇨🇨🇨🇮🇨🇩🇧🇼🇦🇫🇧🇼🇦🇫🇧🇼🇧🇬🇧🇼🇧🇷🇧🇼🇧🇷🇧🇱🇧🇴🇧🇱🇨🇳🇧🇼🇨🇳🇧🇾🇩🇪🇧🇼🇨🇿🇨🇰🇨🇽🇨🇽🇨🇰🇨🇽🇪🇦🇨🇮🇪🇪🇨🇮🇪🇪🇨🇮🇪🇨🇨🇻🇪🇦🇨🇻🇩🇿🇪🇦🇩🇲🇪🇹🇫🇯🇬🇧🇫🇯🇬🇧🇬🇫🇬🇦🇬🇪🇪🇷🇪🇺🇪🇸🇬🇧🇬🇾🇬🇫🇬🇲🇬🇷🇬🇱🇬🇷🇬🇲🇬🇵🇬🇳🇬🇵🇬🇳🇭🇷🇰🇳🇰🇾🇰🇳🇰🇾🇰🇷🇮🇹🇯🇴🇮🇸🇮🇲🇭🇺🇮🇷🇰🇾🇮🇷🇰🇾🇮🇷🇰🇿🇮🇷🇮🇷🇮🇪🇮🇷🇮🇪🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇸🇮🇸🇮🇸🇮🇷🇮🇸🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇮🇷🇭🇰🇰🇬🇭🇰🇰🇬🇬🇲🇰🇬🇬🇲🇰🇬🇰🇬🇬🇲🇰🇭🇬🇱🇰🇭🇬🇱🇮🇷🇮🇷🇬🇱🇮🇷🇬🇮🇮🇷,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",,5
36,YouTube,@multiasking757,https://www.youtube.com/watch?v=4R19-gsUoio,"At <a href=""https://www.youtube.com/watch?v=4R19-gsUoio&amp;t=47"">0:47</a> at the fox clip u can hear empathy by crystal castles playing in the background",,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",href fox clip u hear empathy crystal castles playing background,2
37,YouTube,@EclipseTheSillyCat,https://www.youtube.com/watch?v=4R19-gsUoio,It’s a husky what do you not expect?,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",husky expect,0
38,YouTube,@ArleneManingas-r6l,https://www.youtube.com/watch?v=4R19-gsUoio,&quot;oh so scary til i open the crate&quot; got me rolling down on the bed*btw i am in a bunk bed*,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",quot oh scary til open crate quot got rolling bed btw bunk bed,11
39,YouTube,@yukina2232,https://www.youtube.com/watch?v=4R19-gsUoio,😂😂😂😂😂😂😂😂😂😂😂😂😂,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",,5
40,YouTube,@msmaahlley,https://www.youtube.com/watch?v=4R19-gsUoio,He asked so nicely ❤<br>That Husky noise was EVERYTHING<br>Foxxie tries so hard to fit in ❤,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",asked nicely br husky noise everything br foxxie tries hard fit,3
41,YouTube,@LoganHester-1489,https://www.youtube.com/watch?v=4R19-gsUoio,May hugo rest easy,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",may hugo rest easy,5
42,YouTube,@basedhimejosi,https://www.youtube.com/watch?v=4R19-gsUoio,"the fox is not mimicking anything, that&#39;s literally one of the sounds they just make.",,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",fox mimicking anything 39 literally one sounds make,9
43,YouTube,@Deadbolt75,https://www.youtube.com/watch?v=4R19-gsUoio,"Always show a do your hand, less chance of it biting you",,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",always show hand less chance biting,5
44,YouTube,@billieeisenhower406,https://www.youtube.com/watch?v=4R19-gsUoio,is that kid ok,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",kid ok,10
45,YouTube,@Satan-ub7we,https://www.youtube.com/watch?v=4R19-gsUoio,Rip Hugo,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",rip hugo,5
46,YouTube,@ehill1536,https://www.youtube.com/watch?v=4R19-gsUoio,Dog: &quot;Ruff!&quot;<br>Other &quot;dog&quot;: &quot;Bow!&quot;,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",dog quot ruff quot br quot dog quot quot bow quot,11
47,YouTube,@FRAPPOCHINO,https://www.youtube.com/watch?v=4R19-gsUoio,I didn’t even need to see the dog in the last clip to know that it was a chihuahua,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",even need see dog last clip know chihuahua,8
48,YouTube,@ARandomInternetUser08,https://www.youtube.com/watch?v=4R19-gsUoio,I don&#39;t get the last one.,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",39 get last one,8
49,YouTube,@ARandomInternetUser08,https://www.youtube.com/watch?v=4R19-gsUoio,That high pitched Husky scream can&#39;t be real.,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",high pitched husky scream 39 real,8
50,YouTube,@Corrupt-Void,https://www.youtube.com/watch?v=4R19-gsUoio,Husky = fire truck / Mario combined,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",husky fire truck mario combined,0
51,YouTube,@ChristopherJaramillo-si5mz,https://www.youtube.com/watch?v=4R19-gsUoio,That was so cool&quot; ASK HIM NICELY&quot;,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",cool quot ask nicely quot,11
52,YouTube,@im_a-ninja-m4k,https://www.youtube.com/watch?v=4R19-gsUoio,The last one the dog is not even that big😂😂,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",last one dog even big,8
53,YouTube,@rachelthegreat2959,https://www.youtube.com/watch?v=4R19-gsUoio,I&#39;m pretty sure that&#39;s actually a normal sound foxes make. The foxes that live near my house make the same sounds lol,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",39 pretty sure 39 actually normal sound foxes make foxes live near house make sounds lol,7
54,YouTube,@Silver-AuroraDeleon,https://www.youtube.com/watch?v=4R19-gsUoio,Her: were you raised by the devil?<br><br>Dog: ERRAGGH,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",raised devil br br dog erraggh,3
55,YouTube,@sUper_deft0ner,https://www.youtube.com/watch?v=4R19-gsUoio,Lil demon dog should be friends with George Fisher lmao,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",lil demon dog friends george fisher lmao,5
56,YouTube,@xxrainy_days7438,https://www.youtube.com/watch?v=4R19-gsUoio,😂😂😭😆🤣🤣🥰🥰🥰🔥🔥🔥,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",,5
57,YouTube,@123benyb,https://www.youtube.com/watch?v=4R19-gsUoio,Food sounded like a weapon you&#39;d find on naboo,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",food sounded like weapon 39 find naboo,8
