Post Number,Platform,Username,Content URL,Text,Creation Date,Likes,Comments,Additional Info,cleaned_text,sentiment_score,sentiment_category
30,YouTube,@NoorBoiz,https://www.youtube.com/watch?v=qVhAzSwJF-U,❤,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
31,YouTube,@FreakyMationsStudios,https://www.youtube.com/watch?v=qVhAzSwJF-U,❤❤❤❤❤❤,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
32,YouTube,@TanisaZarameca-z2m,https://www.youtube.com/watch?v=qVhAzSwJF-U,ih gemes banget deh🌹🥰,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",ih gemes banget deh,0.0,Neutral
33,YouTube,@Ganesha-y8n,https://www.youtube.com/watch?v=qVhAzSwJF-U,❤❤❤❤❤,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
34,YouTube,@AsmitaTamang-c1d,https://www.youtube.com/watch?v=qVhAzSwJF-U,So  good<br>❤❤❤❤❤,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",good br,0.4404,Positive
35,YouTube,@BabySleepMusic0.1,https://www.youtube.com/watch?v=qVhAzSwJF-U,Wow,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",wow,0.5859,Positive
36,YouTube,@HiepNguyen-ud1lf,https://www.youtube.com/watch?v=qVhAzSwJF-U,.,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
37,YouTube,@AnnaAnnie-OfficialChannel,https://www.youtube.com/watch?v=qVhAzSwJF-U,Very cute as our children. Thank for sharing.,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",cute children thank sharing,0.8074,Positive
38,YouTube,@Little-Baby-Cartoon-LBC,https://www.youtube.com/watch?v=qVhAzSwJF-U,Amazing Video. Thanks for the share.,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",amazing video thanks share,0.836,Positive
39,YouTube,@PoonamPoonam-i6y,https://www.youtube.com/watch?v=qVhAzSwJF-U,😁👶,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
40,YouTube,@دالياايمن-غ7ع,https://www.youtube.com/watch?v=qVhAzSwJF-U,بحبك يا سلمي ❤❤❤❤,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",بحبك يا سلمي,0.0,Neutral
41,YouTube,@EsiYakobaOdoom-Mensah,https://www.youtube.com/watch?v=qVhAzSwJF-U,🤣🤣🤣😂😂😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
42,YouTube,@denvislarrymore4794,https://www.youtube.com/watch?v=qVhAzSwJF-U,Tall girls have mercy on my taina stack and tainah stack,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",tall girls mercy taina stack tainah stack,0.3612,Positive
43,YouTube,@denvislarrymore4794,https://www.youtube.com/watch?v=qVhAzSwJF-U,Happy 😃 👍,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",happy,0.5719,Positive
44,YouTube,@denvislarrymore4794,https://www.youtube.com/watch?v=qVhAzSwJF-U,😁😁😁😁😁,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
45,YouTube,@Farhana_Arabella,https://www.youtube.com/watch?v=qVhAzSwJF-U,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤you,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
46,YouTube,@MasudaMusaboeva,https://www.youtube.com/watch?v=qVhAzSwJF-U,L0dqq🎉🎉😮🎉<br>Ghehuyq6,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",l0dqq br ghehuyq6,0.0,Neutral
47,YouTube,@douniahicham3093,https://www.youtube.com/watch?v=qVhAzSwJF-U,Not Fun 😅 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",fun,0.5106,Positive
48,YouTube,@FoysolsUrmi,https://www.youtube.com/watch?v=qVhAzSwJF-U,i love you,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",love,0.6369,Positive
49,YouTube,@Shellaoktavia-95,https://www.youtube.com/watch?v=qVhAzSwJF-U,😂😂😂😂😂😂😂😂😂😂😂😅😅😅😅😅😅😅😅😅😅😅😅😅😂😂😂😂😂😂😂😂😂😂,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
50,YouTube,@JhandysalazarolitoquitSalazar,https://www.youtube.com/watch?v=qVhAzSwJF-U,Cute,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",cute,0.4588,Positive
51,YouTube,@davilois,https://www.youtube.com/watch?v=qVhAzSwJF-U,Ó que bebê mais fofinho 😍💝❤❤❤❤❤ parabéns seu filho é bom engraçado vai ser bom amigo quando crescer❤❤❤❤,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",ó que bebê mais fofinho parabéns seu filho é bom engraçado vai ser bom amigo quando crescer,0.0,Neutral
