Tweet Count,Username,Text,Created At,Retweets,Likes
21,ibrahim Haskoloğlu,"Almanya ve Türkiye hükümetleri anlaşmaya vardı. 

Her hafta Sığınmacı başvurusu reddedilen 500 kişi Türkiye’ye gönderilecek. (Reddedilen Türk sığınmacılar da dahil)

— BILD https://t.co/LmzIbFzfLm",Fri Sep 27 17:15:58 +0000 2024,2843,12765
Tweet Count,Username,Text,Created At,Retweets,Likes
22,ibrahim Haskoloğlu,"🔴#SONDAKİKA | Almanya İçişleri Bakanlığı, ülkesinde kalmasına izin vermediği kaçak sığınmacıları Türkiye'ye daha hızlı şekilde gönderme konusunda Türk hükümetiyle anlaştığını açıkladı.

Türk hükümeti bu haberi yalanlamıştı ancak Almanya İçişleri Bakanı anlaşmayı teyit etti ve https://t.co/RiMBr793SG",Sun Sep 29 08:58:04 +0000 2024,8100,30594
Tweet Count,Username,Text,Created At,Retweets,Likes
23,ibrahim Haskoloğlu,"2 şahsın tacizine uğrayan kadın, şahıslar hakkında şikayetçi olmadı.",Fri Oct 04 10:20:22 +0000 2024,197,4110
Tweet Count,Username,Text,Created At,Retweets,Likes
24,ibrahim Haskoloğlu,🔴#SONDAKİKA | İsrail'i vuran İran'ın Balistik füzeleri: https://t.co/f0AFtIKBUa,Tue Oct 01 17:22:46 +0000 2024,153,2646
Tweet Count,Username,Text,Created At,Retweets,Likes
25,ibrahim Haskoloğlu,"İran’ın İsrail’e fırlattığı füzeler sonrası 1 Filistinli hayatını kaybetti. 

Olayın görüntüsü. (+18) https://t.co/JDhov1PYYK",Tue Oct 01 20:36:13 +0000 2024,216,3096
Tweet Count,Username,Text,Created At,Retweets,Likes
26,ibrahim Haskoloğlu,"İranlı üst düzey bir yetkili, İsrail'e balistik füze fırlatmadan önce ABD'yi ve Rusya'yı bilgilendirdiklerini açıkladı.",Tue Oct 01 18:23:28 +0000 2024,95,1808
Tweet Count,Username,Text,Created At,Retweets,Likes
27,ibrahim Haskoloğlu,"Adana’da yol hakkı önceliğine sahip yayaya göstere göstere karşıya geçerken araç çarptı. 

Kadın olay yerinde öldü. https://t.co/jw0v89JaBH",Thu Sep 26 09:10:08 +0000 2024,1349,7874
Tweet Count,Username,Text,Created At,Retweets,Likes
28,ibrahim Haskoloğlu,"3 haftadır hapiste olan Jahrein’in mesajı:

“Pek çok suç kaydı olanlar dışarıda polise, bekçiye, devlete kurşun sıkıyor. Bu ülkede adaletin esamesi varsa, çıkarsın.
Çıkar mıyım?” https://t.co/EysuyBHPj6",Thu Oct 03 15:23:50 +0000 2024,563,6948
Tweet Count,Username,Text,Created At,Retweets,Likes
29,ibrahim Haskoloğlu,"Osmaniye'de bir grup, depremzedelere 500 TL'lik BİM Martket kartı karşılığında;

Kimlik bilgileri, Göz taraması, Biyometrik fotoğrafları ve birkaç cümlelik videolarını çektiler.

Durumu kötü olan binlerce vatandaş bunu yaptı ve günler sonrasında kendileri adına Yasadışı bahis https://t.co/HtKhCCYAez",Fri Sep 27 13:04:32 +0000 2024,1555,8433
Tweet Count,Username,Text,Created At,Retweets,Likes
